名前,address_orig,住所,お店の場所
ジャングルパーク笠間店,茨城県笠間市赤坂８番地 / 笠間ＳＣポレポレシティ１階　,茨城県笠間市赤坂8,笠間SCポレポレシティ1階
こころっこ日立店,茨城県日立市幸町１－１６－１　イトーヨーカドー日立店５階　プレビプレイランドコーナー　こころっこ,茨城県日立市幸町1-16-1,イトーヨーカドー日立店5階 プレビプレイランドコーナー こころっこ
水戸京成,茨城県水戸市泉町１－６－１ 水戸京成百貨店　７Ｆ,茨城県水戸市泉町1-6-1,水戸京成百貨店 7F
筑波西武,茨城県つくば市吾妻１－７－１ 西武百貨店 筑波店 ４Ｆ,茨城県つくば市吾妻1-7-1,西武百貨店 筑波店 4F
アピタ佐原東,茨城県稲敷市西代１４８０　,茨城県稲敷市西代1480,
イトーヨーカドー古河,茨城県古河市雷電町１－１８,茨城県古河市雷電町1-18,
イトーヨーカドー日立,茨城県日立市幸町１－１６－１,茨城県日立市幸町1-16-1,
イトーヨーカドー竜ヶ崎,茨城県龍ケ崎市小柴５－１－２,茨城県龍ケ崎市小柴5-1-2,
SOYU TOY's NY守谷店,茨城県守谷市百合ヶ丘三丁目２４９番１　イオンタウン守谷２Ｆ,茨城県守谷市百合ヶ丘3-249-1,イオンタウン守谷2F
モーリーファンタジー古河2F,茨城県古河市旭町１－２－１７　イオン２Ｆ,茨城県古河市旭町1-2-17,イオン2F
モーリーファンタジー佐原東,茨城県稲敷市西代１４９５パルナ２Ｆ,茨城県稲敷市西代1495,パルナ2F
ビックカメラ水戸店4Fトイズコーナー,茨城県水戸市宮町１－７－３１　エクセルみなみ４Ｆ・５Ｆ,茨城県水戸市宮町1-7-31,エクセルみなみ4F・5F
イオン下市,茨城県水戸市柳町２－１１－６,茨城県水戸市柳町2-11-6,
イオン鹿嶋,茨城県鹿嶋市宮中２９０－１,茨城県鹿嶋市宮中290-1,
イオン高萩,茨城県高萩市安良川２３１－１,茨城県高萩市安良川231-1,
イオンつくば,茨城県つくば市稲岡６６－１,茨城県つくば市稲岡66-1,
イオン下妻,茨城県下妻市堀篭９７２－１,茨城県下妻市堀篭972-1,
イオン土浦,茨城県土浦市上高津３６７,茨城県土浦市上高津367,
トイザらス宇都宮,栃木県宇都宮市鶴田町２０８－１,栃木県宇都宮市鶴田町208-1,
トイザらス佐野,栃木県佐野市高萩町１３２４－１ イオン佐野新都市ショッピングセンター２Ｆ,栃木県佐野市高萩町1324-1,イオン佐野新都市ショッピングセンター2F
JOYFUL-2宇都宮,栃木県河内郡上三川町磯岡４２１－１,栃木県河内郡上三川町磯岡421-1,
ザ・ビッグエクストラ真岡,栃木県真岡市台町２６６８,栃木県真岡市台町2668,
ザ・ビッグエクストラさくら,栃木県さくら市桜野 １５５１,栃木県さくら市桜野1551,
セガワールド宇都宮,栃木県宇都宮市東宿郷５－１－７,栃木県宇都宮市東宿郷5-1-7,
ヨドバシカメラ宇都宮,栃木県宇都宮市駅前通り１－４－６ 宇都宮西口ビル７Ｆ,栃木県宇都宮市駅前通り1-4-6,宇都宮西口ビル7F
ジャンボリー御幸ケ原店,栃木県宇都宮市御幸が原５０－１ ヨークベニマル御幸が原店内プレビプレイランドコーナージャンボリー,栃木県宇都宮市御幸が原50-1,ヨークベニマル御幸が原店内プレビプレイランドコーナージャンボリー
テクモピアパルテノン宇都宮店,栃木県宇都宮市今泉町２３７福田屋ショッピングプラザ宇都宮店２Ｆ,栃木県宇都宮市今泉町237,福田屋ショッピングプラザ宇都宮店2F
テクモピア鹿沼店,栃木県鹿沼市東末広町１０７３福田屋鹿沼店３階,栃木県鹿沼市東末広町1073,福田屋鹿沼店3階
アピタ足利,栃木県足利市朝倉町２４５,栃木県足利市朝倉町245,
