名前,address_orig,住所,お店の場所,経緯度
トイザらス高蔵寺ニュータウン,愛知県春日井市中央台１－１－２ 高蔵寺センター内,愛知県春日井市中央台1-1-2,高蔵寺センター内,"137.0486146,35.2797847"
西友LIVINザ・モール春日井,愛知県春日井市六軒屋町字東丘２２,愛知県春日井市六軒屋町字東丘22,,"136.9827517,35.2590077"
ダイエー上飯田,愛知県名古屋市北区織部町１,愛知県名古屋市北区織部町1,,"136.9282766,35.2010595"
セガイオンタウン刈谷,愛知県刈谷市東境町京和１,愛知県刈谷市東境町京和1,,"137.0276973,35.0393086"
セガワールド上小田井mozoワンダーシティ,愛知県名古屋市西区二方町４０番地「ｍｏｚｏワンダーシティ」４Ｆ,愛知県名古屋市西区二方町40,「mozoワンダーシティ」4F,"136.8839394,35.2249542"
セガイオンタウン名西,愛知県名古屋市西区香呑町 6ー４９－１,愛知県名古屋市西区香呑町6-49-1,,"136.8926643,35.2042487"
セガワールドセガおもしろ遊戯御殿木曽川,愛知県一宮市木曽川町黒田八ヶ池２５－１ イオンモール木曽川３階,愛知県一宮市木曽川町黒田八ヶ池25-1,イオンモール木曽川3階,"136.7746805,35.3493353"
にこぱエルエルタウン岡崎店,愛知県岡崎市上和田町南天白５－１ エルエルタウン岡崎店,愛知県岡崎市上和田町南天白5-1,エルエルタウン岡崎店,"137.14629490000002,34.9334721"
ファンタジーウエストタウン西尾店,愛知県西尾市高畠町３－２３－９ ヴェルサウォーク西尾店３階,愛知県西尾市高畠町3-23-9,ヴェルサウォーク西尾店3階,"137.0600021,34.863814"
ユーズランド東浦店,愛知県知多郡東浦町緒川申新田二区６７－８イオンモール東浦２Ｆ,愛知県知多郡東浦町緒川申新田二区67-8,イオンモール東浦2F,"136.974139,34.9784766"
ピアゴ新城,愛知県新城市字的場２５番地の１１,愛知県新城市字的場25-11,,"137.495129,34.903651"
ピアゴ伝法寺,愛知県一宮市丹陽町伝法寺字中東畑１９４３番地,愛知県一宮市丹陽町伝法寺字中東畑1943,,"136.8422813,35.263716"
ピアゴ勝幡,愛知県愛西市勝幡町弁才天２２８３番地６０,愛知県愛西市勝幡町弁才天2283-60,,"136.7491053,35.1939899"
ピアゴ吉良,愛知県幡豆郡吉良町吉田字天笠桂 １６番地３,愛知県幡豆郡吉良町吉田字天笠桂16-3,,"137.0631842,34.80125490000001"
アピタ一宮,愛知県一宮市両郷町１丁目６番地,愛知県一宮市両郷町1-6,,"136.8166206,35.3105991"
アピタ西尾,愛知県西尾市高畠町３丁目２３－９,愛知県西尾市高畠町3-23-9,,"137.0598842,34.8637778"
アピタ名北,愛知県名古屋市北区辻町９丁目１番地,愛知県名古屋市北区辻町9-1,,"136.9226928,35.2097764"
ゲームランド岡崎,愛知県岡崎市 戸崎町 字外山３８－５ イオンモール岡崎シネマ館３Ｆ,愛知県岡崎市 戸崎町 字外山38-5,イオンモール岡崎シネマ館3F,"137.1642928,34.9384629"
プラサカプコン稲沢,愛知県稲沢市下津町地内尾張西部郡都市拠点地区１３街区 リーフフォーク稲沢２０１区画,愛知県稲沢市下津町地内尾張西部郡都市拠点地区13,街区 リーフフォーク稲沢201区画,"136.8190552,35.2607242"
トヨタ生協 本店,愛知県豊田市山之手８－９２,愛知県豊田市山之手8-92,,"137.1452768,35.0525002"
セイタイトー 弥富,愛知県弥富市五明 １３７１－４,愛知県弥富市五明1371-4,,"136.7168876,35.1148825"
レイク・リビン清洲店,愛知県清須市西市場５丁目５－３,愛知県清須市西市場5-5-3,,"136.8290346,35.21894530000001"
モーリーファンタジーワンダーシティ,愛知県名古屋市西区二方町４０イオン３Ｆ,愛知県名古屋市西区二方町40,イオン3F,"136.8835556,35.2248111"
モーリーファンタジー三好,愛知県みよし市三好町青木９１番地 イオン２Ｆ,愛知県みよし市三好町青木91,イオン2F,"137.0795432,35.0922368"
モーリーファンタジー木曽川,愛知県一宮市木曽川町黒田字南八ツヶ池２５－１イオン２Ｆ,愛知県一宮市木曽川町黒田字南八ツヶ池25-1,イオン2F,"136.7735262,35.3484123"
イオン木曽川,愛知県一宮市木曽川町黒田字南八ツケ池２５－１,愛知県一宮市木曽川町黒田字南八ツケ池25-1,,"136.7732275,35.349179"
ザ・ビッグエクストラ刈谷,愛知県刈谷市東境町京和１,愛知県刈谷市東境町京和1,,"137.0276866,35.0391636"
ソユープレイランドソピア御所野店,秋田県秋田市御所野地蔵田一丁目１番地１号　イオンモール秋田２Ｆ,秋田県秋田市御所野地蔵田1-1-1,イオンモール秋田2F,"140.1610774,39.6633486"
モーリーファンタジー横手,秋田県横手市安田字向田１４７イオン２Ｆ,秋田県横手市安田字向田147,イオン2F,"140.5537196,39.298407"
モーリーファンタジー横手南,秋田県横手市大字婦気大堤字中田４－１ / ＳｕＣ２Ｆ,秋田県横手市大字婦気大堤字中田4-1,SuC2F,"140.5531593,39.2960086"
モーリーファンタジー大館,秋田県大館市大田面２３８ＳｕＣ１Ｆ,秋田県大館市大田面238,SuC1F,"140.5767599,40.2861884"
イオン土崎港,秋田県秋田市土崎港南２－３－４１,秋田県秋田市土崎港南2-3-41,,"140.0728694,39.7471368"
イオン横手,秋田県横手市安田字向田１４７,秋田県横手市安田字向田147,,"140.55366380000004,39.298946"
イオン秋田中央,秋田県秋田市楢山川口境５－１１,秋田県秋田市楢山川口境5-11,,"140.1093714,39.7042318"
リスチャイルドたかのす店,秋田県北秋田市栄字中綱３１－１ イオンタウンたかのすＳＣ内,秋田県北秋田市栄字中綱31-1,イオンタウンたかのすSC内,"140.3846074,40.2301602"
わくわくランド新庄店,山形県新庄市金沢字大道上２０３３－４,山形県新庄市金沢字大道上2033-4,,"140.3093456,38.753313"
わくわくランドくしびき店,山形県鶴岡市丸岡字鳥飼１２１－１ヤマザワくしびき店内,山形県鶴岡市丸岡字鳥飼121-1,ヤマザワくしびき店内,"139.8373506,38.6793869"
わくわくランド中山店,山形県東村山郡中山町大字長崎新町３０３０－１ ヤマザワ中山店内,山形県東村山郡中山町大字長崎新町3030-1,ヤマザワ中山店内,"140.2792045,38.3277099"
SOYU Game Field天童店,山形県天童市芳賀土地区画整理事業地内３４街区 イオンモール天童２階,山形県天童市芳賀土地区画整理事業地内34,街区 イオンモール天童2階,"140.363964,38.344141"
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８－１ イオンモール三川１Ｆ,山形県東田川郡三川町大字猪子字和田庫128-1,イオンモール三川1F,"139.83512680000004,38.8158603"
モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫１２８－１イオン２Ｆ,山形県東田川郡三川町大字猪子字和田庫128-1,イオン2F,"139.8363921,38.8162579"
モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内３４街区イオン３Ｆ,山形県天童市芳賀土地区画整理事業地内34,街区イオン3F,"140.3639641,38.3444524"
イオン三川,山形県東田川郡三川町大字猪子字和田庫１２８－１,山形県東田川郡三川町大字猪子字和田庫128-1,,"139.8366503,38.8151581"
トイザらス郡山,福島県郡山市松木町２－８８,福島県郡山市松木町2-88,,"140.3878241,37.390747100000006"
ヨドバシカメラ郡山駅前,福島県郡山市駅前１－１６－７,福島県郡山市駅前1-16-7,,"140.3875113,37.3970492"
イトーヨーカドー平,福島県いわき市平 ６－６－２,福島県いわき市平6-6-2,,"140.8983261,37.0576114"
モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡３７５－９ＳｕＣ１Ｆ,福島県岩瀬郡鏡石町桜岡375-9,SuC1F,"140.3337655,37.2424652"
モーリーファンタジー郡山フェスタ,福島県郡山市日和田町字小原１イオン１Ｆ,福島県郡山市日和田町字小原1,イオン1F,"140.3764537,37.4449071"
モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下１１－１イオン２Ｆ,福島県西白河郡西郷村大字小田倉字岩下11-1,イオン2F,"140.1777724,37.1212189"
イオンいわき,福島県いわき市平字三倉６８－１,福島県いわき市平字三倉68-1,,"140.89862580000002,37.0507641"
イオン白河西郷,福島県西白河郡西郷村大字小田倉字岩倉１１－１,福島県西白河郡西郷村大字小田倉字岩倉11-1,,"140.1769072,37.1219882"
ペリカンはません,熊本県熊本市南区田井島１丁目２－１ ゆめタウンはません内２Ｆ,熊本県熊本市南区田井島1-2-1,ゆめタウンはません内2F,"130.7267145,32.7716326"
トイザらス熊本南,熊本県宇城市小川町河江１－１,熊本県宇城市小川町河江1-1,,"130.7069921,32.5973657"
イオン熊本クレア,熊本県上益城郡嘉島町大字上島字長池２２３２,熊本県上益城郡嘉島町大字上島字長池2232,,"130.743612,32.7380003"
イオン菊陽,熊本県菊池郡菊陽町津久礼２４７２,熊本県菊池郡菊陽町津久礼2472,,"130.8001872,32.8619412"
イオン錦,熊本県球磨郡錦町大字西字打越７１５－１,熊本県球磨郡錦町大字西字打越715-1,,"130.7958284,32.1935703"
イオン八代,熊本県八代市沖町六番割３９８７－３,熊本県八代市沖町六-割3987-3,,"130.5849459,32.5251179"
イオン天草,熊本県天草市亀場町食場後山下７４０,熊本県天草市亀場町食場後山下740,,"130.1793481,32.4345613"
タイトーステーション ゆめタウン光の森店,熊本県菊池郡菊陽町津久礼３３１０,熊本県菊池郡菊陽町津久礼3310,,"130.7845845,32.8602531"
ペリカンあらお,熊本県荒尾市緑ケ丘１丁目１－１－２Ｆあらおシティモール,熊本県荒尾市緑ケ丘1-1-1,2Fあらおシティモール,"130.4707661,32.9826824"
モーリーファンタジー熊本,熊本県上益城郡嘉島町上島字長池２２３２イオン２Ｆ,熊本県上益城郡嘉島町上島字長池2232,イオン2F,"130.7439315,32.7380684"
モーリーファンタジー天草,熊本県天草市亀場町食場後山下７４０イオン２Ｆ,熊本県天草市亀場町食場後山下740,イオン2F,"130.1790906,32.4345342"
モーリーファンタジー八代,熊本県八代市沖町六番割３９８７－３イオン２Ｆ,熊本県八代市沖町六-割3987-3,イオン2F,"130.5853107,32.525335"
ペリカン別府,大分県別府市楠町３８２－７ゆめタウン別府内３Ｆ,大分県別府市楠町382-7,ゆめタウン別府内3F,"131.5077475,33.2762882"
ペリカン中津,大分県中津市大字島田１３４－１ゆめタウン中津内３Ｆ,大分県中津市大字島田134-1,ゆめタウン中津内3F,"131.1947003,33.6026222"
トイザらス大分,大分県大分市大字宮崎５２５,大分県大分市大字宮崎525,,"131.6087392,33.2016426"
イオン狭間,大分県由布市挾間町北方７７番地,大分県由布市挾間町北方77,,"131.5221072,33.2064391"
イオン三光,大分県中津市三光佐知１０３２,大分県中津市三光佐知1032,,"131.1938423,33.5582177"
プラサカプコン大分店,大分県大分市公園通り西２丁目１番パークプレイス大分２Ｆ,大分県大分市公園通り西2-1,パークプレイス大分2F,"131.655975,33.1954334"
ダイエー宮崎,宮崎県宮崎市大淀４－７－３０,宮崎県宮崎市大淀4-7-30,,"131.4193614,31.895434099999996"
イオン延岡ニューシティ,宮崎県延岡市旭町２－２－１,宮崎県延岡市旭町2-2-1,,"131.6702108,32.5722613"
イオン宮崎,宮崎県宮崎市新別府町江口８６２－１,宮崎県宮崎市新別府町江口862-1,,"131.4554238,31.9231764"
イオン日向,宮崎県日向市大字日知屋字古田町６１－１,宮崎県日向市大字日知屋字古田町61-1,,"131.652409,32.4238405"
ゲオ延岡店,宮崎県延岡市出北３丁目１９番１７号,宮崎県延岡市出北3-19-17,,"131.6827986,32.5724608"
モーリーファンタジー宮崎,宮崎県宮崎市新別府町江口８６２－１イオン２Ｆ,宮崎県宮崎市新別府町江口862-1,イオン2F,"131.4546773,31.9233814"
トイザらス亀戸,東京都江東区亀戸６－３１－１,東京都江東区亀戸6-31-1,,"139.8290259,35.6958062"
トイザらス府中駅前,東京都府中市宮町１－５０くるるＢ１Ｆ,東京都府中市宮町1-50,くるるB1F,"139.4811146,35.671456"
ヤマダ電機LABI品川大井町,東京都品川区東大井 ５丁目２０－１ＡＶソフトコーナー,東京都品川区東大井5-20-1,AVソフトコーナー,"139.7357288,35.6061957"
ツリービレッジ,東京都墨田区押上１－１－２東京スカイツリータウン・ソラマチ４Ｆ,東京都墨田区押上1-1-2,東京スカイツリータウン・ソラマチ4F,"139.8118745,35.7103102"
西友荻窪,東京都杉並区上萩１－９－１タウンセブン,東京都杉並区上萩1-9-1,タウンセブン,"139.6195989,35.7051025"
西友LIVINオズ大泉,東京都練馬区東大泉２－１０－１１,東京都練馬区東大泉2-10-11,,"139.5954153,35.7522403"
西友河辺,東京都青梅市河辺町１０－９－１,東京都青梅市河辺町10-9-1,,"139.2847283,35.7859929"
西友光が丘,東京都練馬区光が丘５－１－１,東京都練馬区光が丘5-1-1,,"139.6284538,35.7597683"
西友清瀬,東京都清瀬市元町１－４－５,東京都清瀬市元町1-4-5,,"139.5205586,35.7733085"
西友ひばりが丘,東京都西東京市住吉町３－９－８,東京都西東京市住吉町3-9-8,,"139.5452076,35.7507445"
キデイランドヴィーナスフォート,東京都江東区青海１丁目３番１５号ヴィーナスフォート２Ｆ,東京都江東区青海1-3-15,ヴィーナスフォート2F,"139.78066410000002,35.6253883"
キデイランド光が丘,東京都練馬区光が丘５－１－１光が丘ＩＭＡ２Ｆ,東京都練馬区光が丘5-1-1,光が丘IMA2F,"139.628165,35.7597334"
キデイランド二子玉川,東京都世田谷区玉川２－２１－１二子玉川ライズ・ショッピングセンター・タウンフロント６Ｆ,東京都世田谷区玉川2-21-1,二子玉川ライズ・ショッピングセンター・タウンフロント6F,"139.6275509,35.6126271"
ダイエー西台,東京都板橋区蓮根３－８－１２,東京都板橋区蓮根3-8-12,,"139.67458240000002,35.7863021"
ダイエー練馬,東京都練馬区光が丘５－１－１,東京都練馬区光が丘5-1-1,,"139.628368,35.7595811"
ライフ経堂,東京都世田谷区経堂５－３２－６,東京都世田谷区経堂5-32-6,,"139.63218590000002,35.6482062"
セガ秋葉原1号館,東京都千代田区外神田１－１０－９,東京都千代田区外神田1-10-9,,"139.7710299,35.6987754"
セガ東京ドームシティ,東京都文京区後楽１丁目３番６１号,東京都文京区後楽1-3-61,,"139.7533527,35.703617"
セガワールド東大和,東京都東大和市桜ヶ丘１－１３３０－１９ＢＩＧＢＯＸ東大和１Ｆ,東京都東大和市桜ヶ丘1-1330-19,BIGBOX東大和1F,"139.4341283,35.7331622"
セガワールドドリームファクトリー,東京都武蔵村山市榎１－１－３－２０５９,東京都武蔵村山市榎1-1-3-2059,,"139.3853884,35.7468502"
SEGA青梅新町,東京都青梅市新町５－３－７プライムビル１Ｆ,東京都青梅市新町5-3-7,プライムビル1F,"139.3051038,35.78707740000001"
セガワールド葛西,東京都江戸川区東葛西９－３－３イトーヨーカドー３Ｆ,東京都江戸川区東葛西9-3-3,イトーヨーカドー3F,"139.881876,35.6526049"
セガ竹の塚,東京都足立区竹の塚６－８,東京都足立区竹の塚6-8,,"139.7927328,35.7946983"
ヨドバシカメラAkiba,東京都千代田区神田花岡町１－１６Ｆ,東京都千代田区神田花岡町1-16F,,"139.7747975,35.6989284"
ヨドバシカメラ錦糸町,東京都墨田区江東橋３－１４－５錦糸町ステーションビル内,東京都墨田区江東橋3-14-5,錦糸町ステーションビル内,"139.8141309,35.6964459"
ヨドバシカメラ上野,東京都台東区上野４－１０－１０７Ｆゲームフロアー,東京都台東区上野4-10-107F,ゲームフロアー,"139.77444,35.7111414"
ヨドバシカメラ町田,東京都町田市原町田１－１－１１Ｂ１Ｆ,東京都町田市原町田1-1-11,B1F,"139.4443567,35.5422614"
ヨドバシカメラ吉祥寺,東京都武蔵野市吉祥寺本町１－１９－１５Ｆ,東京都武蔵野市吉祥寺本町1-19-15F,,"139.5815093,35.7047592"
NICOPA仙川店,東京都調布市若葉町２－２島忠ホームズ仙川店２Ｆ,東京都調布市若葉町2-2,島忠ホームズ仙川店2F,"139.5867666,35.6589358"
ハローズガーデン新糀谷店,東京都大田区萩中２－１２－５マルエツ新糀谷店２階,東京都大田区萩中2-12-5,マルエツ新糀谷店2階,"139.7328705,35.5509912"
ハローズガーデン北砂店,東京都江東区北砂２－１７－１アリオ北砂店アリオモール３階,東京都江東区北砂2-17-1,アリオ北砂店アリオモール3階,"139.8258446,35.6824298"
こころっこ大井町店,東京都品川区大井１丁目３番６号イトーヨーカドー大井町店内７階こころっこ,東京都品川区大井1-3-6,イトーヨーカドー大井町店内7階こころっこ,"139.734062,35.6072003"
こころっこ町田根岸,東京都町田市根岸２丁目１８番地１号アメリア町田根岸店内２Ｆ,東京都町田市根岸2-18-1,アメリア町田根岸店内2F,"139.4106725,35.576297"
こころっこ葛西店,東京都江戸川区東葛西９－３－６ホームズ葛西店内１Ｆプレビプレイランドコーナーこころっこ,東京都江戸川区東葛西9-3-6,ホームズ葛西店内1Fプレビプレイランドコーナーこころっこ,"139.8825216,35.6539457"
アドアーズ南砂町SUNAMO店,東京都江東区新砂３－４－３１南砂町ショッピングセンターＳＵＮＡＭＯ４階,東京都江東区新砂3-4-31,南砂町ショッピングセンターSUNAMO4階,"139.8353905,35.6651002"
THE 3RD PLANET 多摩センター店,東京都多摩市落合１－３９－２,東京都多摩市落合1-39-2,,"139.4257059,35.6245679"
キッズネスト国分寺店,東京都国分寺市南町３－２０－３国分寺エル６Ｆ,東京都国分寺市南町3-20-3,国分寺エル6F,"139.4802031,35.6998806"
新宿京王,東京都新宿区西新宿１－１－４京王百貨店新宿店７Ｆ,東京都新宿区西新宿1-1-4,京王百貨店新宿店7F,"139.6991536,35.6902612"
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町１－１０－１いなりやビルＢ１Ｆ,東京都武蔵野市吉祥寺本町1-10-1,いなりやビルB1F,"139.5791085,35.7053394"
田無ファミリーランド ゲームセンター,東京都西東京市西原町４－２－９,東京都西東京市西原町4-2-9,,"139.5244287,35.7356986"
キャッツアイ西葛西店,東京都江戸川区西葛西４－２－２８/サニーモール西葛西店３Ｆ,東京都江戸川区西葛西4-2-28,サニーモール西葛西店3F,"139.8617964,35.6683376"
トイショップヤマシロヤ,東京都台東区上野６－１４－６,東京都台東区上野6-14-6,,"139.7753056,35.7113233"
東京レジャーランド秋葉原2号店,,東京都昭島市松原町3-2-12,,"139.7719468,35.7007944"
イトーヨーカドーアリオ北砂,東京都江東区北砂２－１７,東京都江東区北砂2-17,,"139.8257305,35.6827583"
イトーヨーカドー葛西,東京都江戸川区東葛西９－３－３,東京都江戸川区東葛西9-3-3,,"139.8819535,35.6524467"
イトーヨーカドーアリオ亀有,東京都葛飾区亀有３－４９－３,東京都葛飾区亀有3-49-3,,"139.8528479,35.7639572"
モーリーファンタジーむさし村山,東京都武蔵村山市榎１丁目１番３号イオン３Ｆ,東京都武蔵村山市榎1-1-3,イオン3F,"139.3851634,35.7465692"
ビックカメラ池袋西口店,東京都豊島区西池袋１－１６－３,東京都豊島区西池袋1-16-3,,"139.7090007,35.7309154"
ビックカメラ新宿西口店,東京都新宿区西新宿１－５－１/ ハルク５Ｆトイズコーナー,東京都新宿区西新宿1-5-1,ハルク5Fトイズコーナー,"139.6986726,35.6925399"
ビックカメラJR八王子店,東京都八王子市八王子市旭町１－１７トイズコーナー,東京都八王子市八王子市旭町1-17,トイズコーナー,"139.338842,35.654658100000006"
ビックカメラ赤坂見附店,東京都港区赤坂３－１－６,東京都港区赤坂3-1-6,,"139.7369957,35.6767461"
ビックカメラビックロ新宿東口店,東京都新宿区新宿３－２９－１,東京都新宿区新宿3-29-1,,"139.7029783,35.6913359"
イオン東久留米,東京都東久留米市南沢５－１７,東京都東久留米市南沢5-17,,"139.527446,35.7449459"
フジグラン石井,徳島県名西郡石井町坂川原５４４番地１,徳島県名西郡石井町坂川原544-1,,"134.4421893,34.0838789"
セガ徳島スエヒロボウル,徳島県徳島市南末広町４－９５－２,徳島県徳島市南末広町4-95-2,,"134.5727969,34.0605735"
パロ小松島,徳島県小松島市小松島町字領田２０番地小松島ショッピングプラザルピア１Ｆ,徳島県小松島市小松島町字領田20,小松島ショッピングプラザルピア1F,"134.5721772,34.0055029"
ペリカン高松,香川県高松市三条町字中所６０８－１ ゆめタウン高松内２Ｆ,香川県高松市三条町字中所608-1,ゆめタウン高松内2F,"134.0419733,34.3168441"
ペリカン丸亀,香川県丸亀市新田町１５０ゆめタウン丸亀内３Ｆ,香川県丸亀市新田町150,ゆめタウン丸亀内3F,"133.7854822,34.2735034"
トイザらス高松,香川県高松市屋島西町字百石１９１２－１ パワーシティ尾島２Ｆ,香川県高松市屋島西町字百石1912-1,パワーシティ尾島2F,"134.1017068,34.3389274"
トイザらス丸亀,香川県丸亀市蓬莱町５６－１ パブリックプラザ丸亀内,香川県丸亀市蓬莱町56-1,パブリックプラザ丸亀内,"133.7845655,34.2941103"
フジグラン丸亀,香川県丸亀市川西町南１２８０－１,香川県丸亀市川西町南1280-1,,"133.8351834,34.2429102"
フジグラン十川,香川県高松市十川東町５５番地１,香川県高松市十川東町55-1,,"134.1078484,34.2716451"
いよてつ高島屋,愛媛県松山市湊町５－１－１,愛媛県松山市湊町5-1-1,,"132.7630225,33.83502000000001"
プラサカプコン新居浜,愛媛県新居浜市前田町８－８イオンモール新居浜２Ｆ,愛媛県新居浜市前田町8-8,イオンモール新居浜2F,"133.2681493,33.954514"
モーリーファンタジー新居浜,愛媛県新居浜市前田町８番８号 イオン２Ｆ,愛媛県新居浜市前田町8-8,イオン2F,"133.26886,33.9537576"
アル・プラザ金沢,石川県金沢市諸江町３０－１,石川県金沢市諸江町30-1,,"136.6431326,36.5910868"
アル・プラザ鹿島,石川県鹿島郡中能登町 井田と部１－１,石川県鹿島郡中能登町 井田と部1-1,,"136.9078835,36.9698222"
モーリーファンタジーかほく,石川県かほく市内日角地内タ２５番イオン２Ｆ,石川県かほく市内日角地内タ25,イオン2F,"136.7013195,36.7090239"
イオン松任,石川県白山市平松町１０２－１,石川県白山市平松町102-1,,"136.5661163,36.5079509"
イオン御経塚,石川県石川郡野々市町 御経塚２－９１,石川県石川郡野々市町 御経塚2-91,,"136.5986164,36.5489067"
アル・プラザベル,福井県福井市花堂南２－１６－１,福井県福井市花堂南2-16-1,,"136.2120847,36.0330338"
アピタ福井大和田,福井県福井市大和田町２－１２３０,福井県福井市大和田町2-1230,,"136.2509335,36.096525"
モーリーファンタジー鯖江,福井県鯖江市下河端１６字下町１６－１アル・プラザ鯖江２Ｆ,福井県鯖江市下河端16,字下町16ー1アル・プラザ鯖江2F,"136.18957280000004,35.9692274"
らんらんらんど武生,福井県越前市横市町２８－１４－１エスカモール武生楽市店１Ｆ,福井県越前市横市町28-14-1,エスカモール武生楽市店1F,"136.1929874,35.9068595"
トイザらス長野,長野県長野市高田１１７４ヤングファラオ２Ｆ,長野県長野市高田1174,ヤングファラオ2F,"138.2119488,36.6380149"
トイザらス佐久,長野県佐久市岩村田１７３５－１,長野県佐久市岩村田1735-1,,"138.4653282,36.2683789"
セガ松本,長野県松本市渚１－７－１,長野県松本市渚1-7-1,,"137.955844,36.23325210000001"
アピタ岡谷,長野県岡谷市銀座一丁目１番５号,長野県岡谷市銀座1-1-5,,"138.051809,36.0659401"
アピタ伊那,長野県伊那市伊那下川原５１９８番地,長野県伊那市伊那下川原5198,,"137.949835,35.8319204"
タイトーステーション アイシティ21松本店,長野県東筑摩郡山形村 ７９７７,長野県東筑摩郡山形村7977,,"137.892772,36.1842262"
イトーヨーカドー長野,長野県長野市権堂町２２０１,長野県長野市権堂町2201,,"138.1915444,36.6533826"
イトーヨーカドーアリオ上田,長野県上田市天神３－５１,長野県上田市天神3-51,,"138.2443897,36.3994441"
SOYU Game Field長野店,長野県長野市三輪九丁目４３番２４号イオンタウン長野三輪２Ｆ,長野県長野市三輪9-43-24,イオンタウン長野三輪2F,"138.207486,36.6697327"
パロ諏訪,長野県諏訪市沖田町５－１８ ステーションパーク・諏訪１Ｆ・２Ｆ,長野県諏訪市沖田町5-18,ステーションパーク・諏訪1F・2F,"138.1283965,36.0054526"
イオン東松本,長野県松本市中央４－９－４３,長野県松本市中央4-9-43,,"137.9791673,36.2342238"
こどもや諏訪,長野県諏訪市沖田町５－１９諏訪ステーションパーク内,長野県諏訪市沖田町5-19,諏訪ステーションパーク内,"138.1286706,36.0049552"
トイザらス市川,千葉県市川市鬼高１－１－１ニッケコルトンプラザイースト館２Ｆ,千葉県市川市鬼高1-1-1,ニッケコルトンプラザイースト館2F,"139.9336611,35.7160502"
トイザらス市原,千葉県市原市八幡１０４９－１,千葉県市原市八幡1049-1,,"140.1137278,35.5370187"
トイザらス野田,千葉県野田市中根 新田字鹿島原 ５７－１パル・ノア２Ｆ,千葉県野田市中根 新田字鹿島原57-1,パル・ノア2F,"139.8763598,35.9497715"
モリシア津田沼3F,千葉県習志野市谷津１－１６－１モリシア津田沼３Ｆ,千葉県習志野市谷津1-16-1,モリシア津田沼3F,"140.0191986,35.6895425"
JOYFUL－2千葉ニュータウン店,千葉県印西市草深１９２１,千葉県印西市草深1921,,"140.1564764,35.8071979"
セガワールド旭,千葉県旭市 二 ３１５０－１,千葉県旭市 二3150-1,,"140.6395119,35.7234953"
セガ幕張,千葉県千葉市美浜区ひび野１－８メッセ・アミューズ・モール１階,千葉県千葉市美浜区ひび野1-8,メッセ・アミューズ・モール1階,"140.0426565,35.6499712"
セガ我孫子,千葉県我孫子市柴崎字天王台 ４７－１,千葉県我孫子市柴崎字天王台47-1,,"140.0300596,35.8782407"
ヨドバシカメラ千葉,千葉県千葉市中央区富士見２－３－１,千葉県千葉市中央区富士見2-3-1,,"140.1166091,35.61157180000001"
にこぱアクロスモール新鎌ヶ谷店,千葉県鎌ヶ谷市初富９２８番地アクロスモール新鎌ヶ谷２Ｆ,千葉県鎌ヶ谷市初富928,アクロスモール新鎌ヶ谷2F,"140.0015579,35.7810793"
こころっこ君津店,千葉県君津市中野５－１７－１ダイエー君津店内３Ｆプレビプレイランドコーナーこころっこ,千葉県君津市中野5-17-1,ダイエー君津店内3Fプレビプレイランドコーナーこころっこ,"139.8841597,35.3343853"
こころっこ新浦安店,千葉県浦安市明海４－１－１イトーヨーカドー新浦安店内３階プレビプレイランドコーナーこころっこ,千葉県浦安市明海4-1-1,イトーヨーカドー新浦安店内3階プレビプレイランドコーナーこころっこ,"139.9227555,35.642995"
こころっこJ'S横芝店,千葉県山武郡横芝光町横芝２１２２サビア横芝店内プレビプレイランドコーナーこころっこＪ’ｓ,千葉県山武郡横芝光町横芝2122,サビア横芝店内プレビプレイランドコーナーこころっこJ's,"140.4861314,35.659889"
マリンガーデンららぽーと船橋,千葉県船橋市浜町２丁目１番１号ららぽーとＴＯＫＹＯ－ＢＡＹ西館３階,千葉県船橋市浜町2-1-1,ららぽーとTOKYOーBAY西館3階,"139.9906325,35.68604680000001"
アピタ市原,千葉県市原市青柳北１－１,千葉県市原市青柳北1-1,,"140.066041,35.5144537"
アピタ君津,千葉県君津市久保１－１－１,千葉県君津市久保1-1-1,,"139.8986978,35.3322559"
野田ホビー ノア店,千葉県野田市中根３６ショッピングセンターノア３Ｆ,千葉県野田市中根36,ショッピングセンターノア3F,"139.8764027,35.9477998"
プラサカプコン千葉ニュータウン,千葉県印西市中央北３－３イオンモール千葉ニュータウンシネマスポーツ棟２Ｆ,千葉県印西市中央北3-3,イオンモール千葉ニュータウンシネマスポーツ棟2F,"140.1110929,35.8010812"
プラサカプコンちはら台,千葉県市原市ちはら台西３－４ショッピングモールｕｎｉｍｏちはら台２Ｆ,千葉県市原市ちはら台西3-4,ショッピングモールunimoちはら台2F,"140.1714182,35.5278667"
タイトーステーション 新柏PAZ店,千葉県柏市名戸ケ谷字中久保８８８番１号ＰＡＺ新柏２Ｆ,千葉県柏市名戸ケ谷字中久保888-1,PAZ新柏2F,"139.9803899,35.8429619"
キャッツアイ八千代店,千葉県八千代市吉橋１８５１番地ｉｓｍ緑が丘内,千葉県八千代市吉橋1851,ism緑が丘内,"140.0725603,35.7336033"
