名前,address_orig,住所,お店の場所,経緯度
ビックカメラ札幌店,北海道札幌市中央区北五条西２－１　札幌ＥＳＴＡ　ＪＲタワー５Ｆ,北海道札幌市中央区北五条西2-1,札幌ESTA JRタワー5F,"141.3529667,43.0673973"
イオン鹿児島,鹿児島県鹿児島市東開町７,鹿児島県鹿児島市東開町7,,"130.5368953,31.527252400000002"
イオン姶良,鹿児島県姶良郡姶良町 東餅田 ３３６,鹿児島県姶良郡姶良町 東餅田336,,"130.6284793,31.7333009"
ビックカメラ鹿児島中央駅店,鹿児島県鹿児島市中央町１－１ / １階トイズコーナー,鹿児島県鹿児島市中央町1-11,階トイズコーナー,"130.5403176,31.5839324"
イオン具志川,沖縄県うるま市字前原幸崎原３０３番地,沖縄県うるま市字前原幸崎原303,,"127.84470239999999,26.3383301"
(株)サンエー那覇メインプレイス店,沖縄県那覇市おもろまち４－４－９２Ｆ,沖縄県那覇市おもろまち4-4-92F,,"127.6951457,26.2255749"
(株)サンエー具志川メインシティ店,沖縄県うるま市江洲４５０－１２Ｆ,沖縄県うるま市江洲450-12F,,"127.82585729999998,26.3527184"
らんらんらんど浦添,沖縄県浦添市城間４－７－１浦添ショッピングセンター３Ｆ,沖縄県浦添市城間4-7-1,浦添ショッピングセンター3F,"127.71265130000002,26.2586531"
アル・プラザつかしん,兵庫県尼崎市塚口本町４－８－１,兵庫県尼崎市塚口本町4-8-1,,"135.4194003,34.7624303"
ペリカン西神戸,兵庫県神戸市西区竜が岡１－２１－１カナート西神戸内２Ｆ,兵庫県神戸市西区竜が岡1-21-1,カナート西神戸内2F,"134.9403013,34.7108049"
ライフ下山手,兵庫県神戸市中央区下山手通７－１－２,兵庫県神戸市中央区下山手通7-1-2,,"135.1788478,34.6877844"
西友ザ・モール姫路,兵庫県姫路市今宿２０１７－１,兵庫県姫路市今宿2017-1,,"134.6698458,34.8409512"
モーリーファンタジー伊丹昆陽,兵庫県伊丹市池尻４－１－１ イオン３Ｆ,兵庫県伊丹市池尻4-1-1,イオン3F,"135.3831715,34.78436130000001"
モーリーファンタジー加古川,兵庫県加古川市平岡町新在家６１５－１イオン２Ｆ,兵庫県加古川市平岡町新在家615-1,イオン2F,"134.8624837,34.7492574"
モーリーファンタジー三木,兵庫県三木市大村字砂１６３イオン３Ｆ,兵庫県三木市大村字砂163,イオン3F,"134.9724881,34.8052391"
モーリーファンタジー山崎,兵庫県宍粟市山崎町中井字城下１０ イオン３Ｆ,兵庫県宍粟市山崎町中井字城下10,イオン3F,"134.543496,35.0021692"
