名前,住所,お店の場所,経度,緯度
モーリーファンタジーりんくう泉南,大阪府泉南市りんくう南浜3-1,イオン2F,135.267887,34.3813643
モーリーファンタジー北千里,大阪府吹田市古江台4-2-50,イオン5F,135.5093283,34.8200285
モーリーファンタジー枚方,大阪府枚方市岡本町7-1-203,イオン4F,135.6465054,34.8156148
モーリーファンタジー和泉府中,大阪府和泉市肥子町2-2-1,イオン4F,135.4209081,34.4856061
らんらんらんど京橋14,大阪府大阪市都島区片町2-3-51,ダイエー京橋店4F,135.5328747,34.6962645
ビックカメラなんば,大阪府大阪市中央区千日前2-10-1,トイズコーナー,135.5026172,34.6666926
イオン布施駅前,大阪府東大阪市長堂1-8-37,,135.56360630000003,34.6656588
イオン高槻,大阪府高槻市萩之庄3-47-2,,135.6439582,34.859137
イオン大阪DC,大阪府大阪市西区千代崎3-13-1,,135.4779902,34.6704121
イオン堺北花田,大阪府堺市北区東浅香山町4,丁1ー12,135.5152639,34.5847839
イオンりんくう泉南,大阪府泉南市りんくう南浜3-12,,135.2682731,34.3812906
イオン和泉府中,大阪府和泉市肥子町2-2-1,,135.4210049,34.4856204
トイザらス木曽川,愛知県一宮市木曽川町黒田字南八ツケ池25-1,イオンモール木曽川1F,136.7747064,35.3484298
トイザらス高蔵寺ニュータウン,愛知県春日井市中央台1-1-2,高蔵寺センター内,137.0486146,35.2797847
西友LIVINザ・モール春日井,愛知県春日井市六軒屋町字東丘22,,136.9827517,35.2590077
ダイエー上飯田,愛知県名古屋市北区織部町1,,136.9282766,35.2010595
セガイオンタウン刈谷,愛知県刈谷市東境町京和1,,137.0276973,35.0393086
セガワールド上小田井mozoワンダーシティ,愛知県名古屋市西区二方町40,「mozoワンダーシティ」4F,136.8839394,35.2249542
セガイオンタウン名西,愛知県名古屋市西区香呑町6-49-1,,136.8926643,35.2042487
セガワールドセガおもしろ遊戯御殿木曽川,愛知県一宮市木曽川町黒田八ヶ池25-1,イオンモール木曽川3階,136.7746805,35.3493353
にこぱエルエルタウン岡崎店,愛知県岡崎市上和田町南天白5-1,エルエルタウン岡崎店,137.14629490000002,34.9334721
ファンタジーウエストタウン西尾店,愛知県西尾市高畠町3-23-9,ヴェルサウォーク西尾店3階,137.0600021,34.863814
ユーズランド東浦店,愛知県知多郡東浦町緒川申新田二区67-8,イオンモール東浦2F,136.974139,34.9784766
ピアゴ新城,愛知県新城市字的場25-11,,137.495129,34.903651
ピアゴ伝法寺,愛知県一宮市丹陽町伝法寺字中東畑1943,,136.8422813,35.263716
ピアゴ勝幡,愛知県愛西市勝幡町弁才天2283-60,,136.7491053,35.1939899
